html_overview	https://www.tutorialspoint.com/html/html_overview.htm
html_basic_tags	https://www.tutorialspoint.com/html/html_basic_tags.htm
html_elements	https://www.tutorialspoint.com/html/html_elements.htm
html_attributes	https://www.tutorialspoint.com/html/html_attributes.htm
html_formatting	https://www.tutorialspoint.com/html/html_formatting.htm
html_phrase_elements	https://www.tutorialspoint.com/html/html_phrase_elements.htm
html_meta_tags	https://www.tutorialspoint.com/html/html_meta_tags.htm
html_comments	https://www.tutorialspoint.com/html/html_comments.htm
html_images	https://www.tutorialspoint.com/html/html_images.htm
html_tables	https://www.tutorialspoint.com/html/html_tables.htm
html_lists	https://www.tutorialspoint.com/html/html_lists.htm
html_text_links	https://www.tutorialspoint.com/html/html_text_links.htm
html_image_links	https://www.tutorialspoint.com/html/html_image_links.htm
html_email_links	https://www.tutorialspoint.com/html/html_email_links.htm
html_frames	https://www.tutorialspoint.com/html/html_frames.htm
html_iframes	https://www.tutorialspoint.com/html/html_iframes.htm
html_blocks	https://www.tutorialspoint.com/html/html_blocks.htm
html_backgrounds	https://www.tutorialspoint.com/html/html_backgrounds.htm
html_colors	https://www.tutorialspoint.com/html/html_colors.htm
html_fonts	https://www.tutorialspoint.com/html/html_fonts.htm
html_forms	https://www.tutorialspoint.com/html/html_forms.htm
html_embed_multimedia	https://www.tutorialspoint.com/html/html_embed_multimedia.htm
html_marquees	https://www.tutorialspoint.com/html/html_marquees.htm
html_header	https://www.tutorialspoint.com/html/html_header.htm
html_style_sheet	https://www.tutorialspoint.com/html/html_style_sheet.htm
html_javascript	https://www.tutorialspoint.com/html/html_javascript.htm
html_layouts	https://www.tutorialspoint.com/html/html_layouts.htm
html_tags_reference	https://www.tutorialspoint.com/html/html_tags_reference.htm
html_attributes_reference	https://www.tutorialspoint.com/html/html_attributes_reference.htm
html_events_reference	https://www.tutorialspoint.com/html/html_events_reference.htm
html_fonts_reference	https://www.tutorialspoint.com/html/html_fonts_reference.htm
html_color_names	https://www.tutorialspoint.com/html/html_color_names.htm
html_entities	https://www.tutorialspoint.com/html/html_entities.htm
html_fonts_ref	https://www.tutorialspoint.com/html/html_fonts_ref.htm
html_events_ref	https://www.tutorialspoint.com/html/html_events_ref.htm
language_iso_codes	https://www.tutorialspoint.com/html/language_iso_codes.htm
html_deprecated_tags	https://www.tutorialspoint.com/html/html_deprecated_tags.htm
html_useful_resources	https://www.tutorialspoint.com/html/html_useful_resources.htm
html_color_code_builder	https://www.tutorialspoint.com/html/html_color_code_builder.htm
IntroductiontoWebTechnologies-Part1|WebTechnologiesTutorial	JsbxB2l7QGY
IntroductiontoHTML-Part2|WebTechnologiesTutorial	3GGmmVp6iOc
DeprecatedElements-HTML|WebTechnologiesTutorial	uLhiX0HUTMY
HTML-DIVandSPANTags|WebTechnologiesTutorial	CH1GQDgBOMY
HTML-Comments,DTD,UTF,Lang|WebTechnologiesTutorial	BX0zp9ksvMc
HtmlDocumentHeadSection-WebTechnologies|UITechnologiesTutorial	1jjopT5FNdk
BodyTag,TypesofAttributes,Colorcodes|WebTechnologiesTutorial	SboEPKl68so
SpecialCharactersandPresentationalTagsHTML|WebTechnologiesTutorial	v9FhYnMh81o
HtmlBasicTagswithExamples|WebTechnologiesTutorial	CJUbgMWxG1Q
HTMLMarqueetag,Pretag|WebTechnologiesTutorial	aShpXTo6kv0
HtmlTabletag|WebTechnologiesTutorial	Rlaz_5AnPy4
HtmlImageTag,AnchorTag|WebTechnologiesTutorial	zCSgcTxhNBY
HtmlFrames|WebTechnologiesTutorial	FIBocnLh2Yc
HTMLForms-Part1|WebTechnologiesTutorial	6p9s0GuPGn0
HTMLForms-Part2|WebTechnologiesTutorial	aa1SoYQ62NQ
HTMLLists|WebTechnologiesTutorial	fmTLhkFmB60
TypesofStyleSheets|WebTechnologiesTutorial	O_WdaMxiIpc
IntroductiontoCSS|WebTechnologiesTutorial	lNEp3qv2lO8
IntroductiontoHTML5||WebTechnologiesTutorial	FHgwZcN9w7A
SemanticsinHTML5|WebTechnologiesTutorial|Mr	PeifcSYWDgQ
